scenario,detector_name,best_macro_f1
drift,ADWIN,0.7867104156915201
catch24_drift,ADWIN,0.7352910280033892
drift,PageHinkley,0.8080084905960814
catch24_drift,PageHinkley,0.7336639177203901
drift,KSWIN,0.7785543638807575
catch24_drift,KSWIN,0.7575579211113672
drift,CUSUM,0.801278275775309
catch24_drift,CUSUM,0.7287331326982892
drift,EWMAChart,0.785764525782193
catch24_drift,EWMAChart,0.7384887690186706
drift,GeometricMovingAverage,0.8345610192265269
catch24_drift,GeometricMovingAverage,0.737795220354707
drift,HDDMAverage,0.8114328929283747
catch24_drift,HDDMAverage,0.7533877825240924
drift,HDDMWeighted,0.8438697595574121
catch24_drift,HDDMWeighted,0.7279735289644077
drift,SEED,0.72694888328648
catch24_drift,SEED,0.760674069157112
baseline,baseline,0.839052792720661
catch24,baseline,0.6682854322254468
