fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,catch24_drift,CUSUM,114.38564014062285,732515,0.15615467279253376
1,catch24_drift,CUSUM,115.28583200648427,736410,0.15655114950433083
2,catch24_drift,CUSUM,116.0588252581656,741333,0.15655424115500807
3,catch24_drift,CUSUM,116.75149365700781,737660,0.15827277289944935
4,catch24_drift,CUSUM,114.202935539186,733809,0.15563032824506923
5,catch24_drift,CUSUM,112.60625093244016,724961,0.15532732234208482
6,catch24_drift,CUSUM,111.31424189731479,723935,0.15376275756430452
7,catch24_drift,CUSUM,110.57651094719768,727719,0.1519494625634313
8,catch24_drift,CUSUM,111.3815903738141,721241,0.15443047521399103
9,catch24_drift,CUSUM,112.4792110286653,726113,0.15490593203628816
