fold,train_indices,test_indices,detector_name,phi_b,scaler_name
0,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",[0],HDDMAverage,0.0028678352688314857,robust
1,"[0, 2, 3, 4, 5, 6, 7, 8, 9]",[1],HDDMAverage,0.0028678352688314857,robust
2,"[0, 1, 3, 4, 5, 6, 7, 8, 9]",[2],HDDMAverage,0.0028678352688314857,robust
3,"[0, 1, 2, 4, 5, 6, 7, 8, 9]",[3],HDDMAverage,0.0028678352688314857,robust
4,"[0, 1, 2, 3, 5, 6, 7, 8, 9]",[4],HDDMAverage,0.0028678352688314857,robust
5,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",[5],HDDMAverage,0.0028678352688314857,robust
6,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",[6],HDDMAverage,0.0028678352688314857,robust
7,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",[7],HDDMAverage,0.0028678352688314857,robust
8,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",[8],HDDMAverage,0.0028678352688314857,robust
9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",[9],HDDMAverage,0.0028678352688314857,robust
