score_waist_acc_x,score_waist_acc_y,score_waist_acc_z,score_waist_gyro_x,score_waist_gyro_y,waist_acc_x,waist_acc_y,waist_acc_z,waist_gyro_x,waist_gyro_y,n_test
0.13514243588085204,0.24211873858389096,0.10606952526290593,0.18355217515557062,0.0,0.00659400232748806,0.12169319111577327,0.053605456473164635,0.1471026014924685,0.0041218737078858635,59048
0.13002762809911592,0.24183629098505774,0.11669393750103967,0.1764154328201049,0.0,0.007751538328630259,0.12483557187474835,0.04774274730779134,0.15049939831398204,0.004197454769529712,63006
0.10712869263278937,0.2679400372510151,0.11021789214453477,0.19089768624858858,0.0,0.006518699758617138,0.12100770418361548,0.050774717076889506,0.13953543794654058,0.005979132757409424,54316
0.12354514980563376,0.24095455932896462,0.10677104922775439,0.20637148777955233,0.0,0.00794024042559034,0.11803242354236128,0.04968632830362482,0.1414486146536575,0.005250146932860939,59973
0.14167050412684679,0.20961602168917765,0.12706017687172105,0.19551953433159758,0.0007451719190416481,0.0064305885489377036,0.12505549330927884,0.052461111132310126,0.13528733597511458,0.006154062095974067,60663
0.12415438353050065,0.22971291106717176,0.11660702750773205,0.1907929569659558,0.0,0.007302805293006505,0.12971094375831857,0.045643094260172205,0.15157817671994253,0.00449770089719974,55496
0.1326334055894176,0.23630378290675816,0.11308260118442554,0.17109148301869187,0.0,0.007688646274715907,0.13921202824508144,0.04883262302407016,0.1477464774316583,0.0034089523251810494,57210
0.1306510238705223,0.23228709668209777,0.11734207061613534,0.182701879994118,0.0,0.007379926564022732,0.1312963434028832,0.05277080491357036,0.14102200307002347,0.004548850886626794,55712
0.1175638221612027,0.24445296936844205,0.1331159816115431,0.1815453110286447,0.0,0.006394614304302954,0.1287469532358427,0.04803779262465012,0.13502754413847393,0.0051150115268977555,54439
0.13506542388507228,0.23886096235340043,0.129047371521435,0.1712388874554847,0.0,0.007413580764781544,0.12463795993392777,0.05406867513054665,0.13615122168165267,0.003515917273698885,56823
