run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
ward,0,"[0, 1]",515316,58790,130,130
ward,1,"[2, 3]",511358,62748,130,130
ward,2,"[4, 5]",520048,54058,130,130
ward,3,"[6, 7]",514391,59715,130,130
ward,4,"[8, 9]",513701,60405,130,130
ward,5,"[10, 11]",518868,55238,130,130
ward,6,"[12, 13]",517154,56952,130,130
ward,7,"[14, 15]",518652,55454,130,130
ward,8,"[16, 17]",519925,54181,130,130
ward,9,"[18, 19]",517541,56565,130,130
