scenario,best_value_mean_f1_macro,mean_accuracy,mean_f1_macro_folds,mean_f1_mean_classes
ADWIN,0.6908395196902175,0.7368230783641507,0.6908395196902175,0.6908395196902175
PageHinkley,0.6341196556250591,0.6709091951141681,0.6341196556250591,0.6341196556250591
KSWIN,0.7193173108848814,0.7601930546641991,0.7193173108848814,0.7193173108848814
CUSUM,0.712781525669126,0.7720329398324366,0.712781525669126,0.712781525669126
EWMAChart,0.5096941378878295,0.5964002191494927,0.5096941378878295,0.5096941378878295
GeometricMovingAverage,0.5951874157455815,0.6773339451532148,0.5951874157455815,0.5951874157455815
HDDMAverage,0.8230364713070705,0.8385116677768704,0.8230364713070705,0.8230364713070705
HDDMWeighted,0.6328291029735117,0.6747628251260885,0.6328291029735117,0.6328291029735117
SEED,0.7007826335681839,0.7649731593289956,0.7007826335681839,0.7007826335681839
