run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
geotec_sw,0,"[0, 1]",241584,18002,156,156
geotec_sw,1,"[2, 3]",238317,21269,156,156
geotec_sw,2,"[4, 5]",235364,24222,156,156
geotec_sw,3,"[6, 7]",234364,25222,156,156
geotec_sw,4,"[8, 9]",237338,22248,156,156
geotec_sw,5,"[10, 11]",236203,23383,156,156
geotec_sw,6,"[12, 13]",236281,23305,156,156
geotec_sw,7,"[14, 15]",238123,21463,156,156
geotec_sw,8,"[16, 17]",234183,25403,156,156
geotec_sw,9,"[18, 19]",236651,22935,156,156
geotec_sw,10,"[20, 21, 22]",227452,32134,156,156
