fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,catch24,,733055,144,805.3584022521973,79289,144,87.10962295532227,892.471549987793
1,catch24,,736950,144,809.6375770568848,75394,144,82.83044815063477,892.471549987793
2,catch24,,741873,144,815.0461463928223,70471,144,77.42187881469727,892.471549987793
3,catch24,,738200,144,811.0108680725098,74144,144,81.45715713500977,892.471549987793
4,catch24,,734349,144,806.7800331115723,77995,144,85.68799209594727,892.471549987793
5,catch24,,725501,144,797.0593299865723,86843,144,95.40869522094727,892.471549987793
6,catch24,,724475,144,795.9321327209473,87869,144,96.53589248657227,892.471549987793
7,catch24,,728259,144,800.0893592834473,84085,144,92.37866592407227,892.471549987793
8,catch24,,721781,144,792.9724159240723,90563,144,99.49560928344727,892.471549987793
9,catch24,,726653,144,798.3249549865723,85691,144,94.14307022094727,892.471549987793
