fold,f1_macro,f1_mean_classes,accuracy,n_features_modelo
0,0.7528353712497046,0.7528353712497046,0.7677619216901123,24
1,0.8966415556216784,0.8966415556216784,0.9162575318009373,24
2,0.8873385412927988,0.8873385412927988,0.8871234433937891,24
3,0.7439082693508029,0.7439082693508029,0.7970529835928519,24
4,0.8584767582031378,0.8584767582031378,0.8783084080216574,24
5,0.9327479822035448,0.9327479822035448,0.9370365340214586,24
6,0.7407082367934875,0.7407082367934875,0.7477770674725402,24
7,0.7430596938640884,0.7430596938640884,0.7617408409146791,24
8,0.7490614242410305,0.7490614242410305,0.7646189224704336,24
9,0.925586880250431,0.925586880250431,0.927439024390244,24
