classe,f1_medio,f1_desvio
0,0.5818102813323529,0.1228503885642696
1,0.8464902140480012,0.1313926460803186
2,0.8529628038262448,0.2880526027336777
3,0.8876191143147819,0.2960081331803147
4,0.9070517754345797,0.09744318386361456
5,0.7848093673770719,0.21242065656235198
6,0.8119054546738953,0.12419735933811894
7,0.9496089529964079,0.032832920017534566
8,0.8332816208993845,0.11111869596933646
9,0.8291927999074489,0.28496154451801814
10,0.8085857352293825,0.2672523206429922
11,0.8131251612853406,0.29327839312061355
12,0.7930308456670236,0.19246098901216507
