fold,train_indices,test_indices,detector_name,phi_b,scaler_name
0,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",[0],KSWIN,0.00021224454567265002,minmax
1,"[0, 2, 3, 4, 5, 6, 7, 8, 9]",[1],KSWIN,0.00021224454567265002,minmax
2,"[0, 1, 3, 4, 5, 6, 7, 8, 9]",[2],KSWIN,0.00021224454567265002,minmax
3,"[0, 1, 2, 4, 5, 6, 7, 8, 9]",[3],KSWIN,0.00021224454567265002,minmax
4,"[0, 1, 2, 3, 5, 6, 7, 8, 9]",[4],KSWIN,0.00021224454567265002,minmax
5,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",[5],KSWIN,0.00021224454567265002,minmax
6,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",[6],KSWIN,0.00021224454567265002,minmax
7,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",[7],KSWIN,0.00021224454567265002,minmax
8,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",[8],KSWIN,0.00021224454567265002,minmax
9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",[9],KSWIN,0.00021224454567265002,minmax
