right_ankle_acc_x,right_ankle_acc_y,right_ankle_acc_z,right_ankle_gyro_x,right_ankle_gyro_y,n_test
0.39463642041982444,0.1302524068883706,0.048773201876643406,0.0994414767231691,0.32689649409199234,59048
0.39794260804853826,0.1436614196457187,0.058927239483889615,0.1356769765650978,0.2637917562567555,63006
0.397536663297584,0.15256233641321426,0.058406807177940064,0.1218838445574175,0.26961034855384414,54316
0.40163315366748203,0.15436264850991785,0.07891527735286456,0.09162976214914514,0.2734591583205904,59973
0.40822182232130577,0.17501074293039487,0.08220998493892141,0.08118716532886103,0.25337028448051685,60663
0.39902571598433406,0.18165338084886504,0.0678571664886486,0.09120450513413518,0.2602592315440172,55496
0.39554340498424106,0.1643503025438445,0.06575727155318126,0.10833163395537615,0.2660173869633571,57210
0.41372140676605146,0.15585326451753287,0.07160127289054974,0.0979285301742936,0.26089552565157226,55712
0.4134599902639324,0.16385623954015732,0.07442062722311076,0.0903156281300849,0.2579475148427148,54439
0.4075161407990663,0.17444335272974815,0.07757977382202226,0.08271032168644613,0.25775041096271717,56823
