fold,f1_macro,f1_mean_classes,accuracy,n_features_modelo
0,0.7102583948094815,0.7102583948094815,0.7315778782184754,24
1,0.7046201064815444,0.7046201064815444,0.7479915197500558,24
2,0.591166854381133,0.591166854381133,0.6115330956440862,24
3,0.753052519239263,0.753052519239263,0.8093322186226356,24
4,0.7744549651339288,0.7744549651339288,0.8055300023654953,24
5,0.5498450331253949,0.5498450331253949,0.6219204128751867,24
6,0.5886504181756571,0.5886504181756571,0.6002789562387401,24
7,0.5463507324315622,0.5463507324315622,0.6246482528754473,24
8,0.3229692283830677,0.3229692283830677,0.33462001752080595,24
9,0.7998283040895585,0.7998283040895585,0.8216595970307529,24
