classe,f1_medio,f1_desvio
0,0.2659898718140112,0.07257403002964759
1,0.48126996213154066,0.4787101694261481
2,0.1823180267274067,0.31150457842580875
3,0.7086766769934403,0.41794624047659135
4,0.7706752188246867,0.2673656371770869
5,0.6680907763809166,0.3157032545730841
6,0.8859810742727408,0.1751959342437315
7,0.8026610308920145,0.1859545450149651
8,0.6896483841626092,0.1886488681762761
9,0.7546186681724334,0.36301972587057035
10,0.720035189827122,0.24907671774919315
11,0.8640547458070167,0.17242355086665612
12,0.4495358971198301,0.21645939920421148
