fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,catch24,,7593,140,8.11032485961914,2522,140,2.6939125061035156,31.48678207397461
1,catch24,,6941,140,7.413913726806641,3174,140,3.3903236389160156,31.48678207397461
2,catch24,,7594,140,8.111392974853516,2521,140,2.6928443908691406,31.48678207397461
3,catch24,,7660,121,7.071506500244141,2455,121,2.2664756774902344,31.48678207397461
4,catch24,,7609,140,8.12741470336914,2506,140,2.6768226623535156,31.48678207397461
5,catch24,,6276,142,6.799381256103516,3839,142,4.159198760986328,31.48678207397461
6,catch24,,5624,161,6.908267974853516,4491,161,5.516567230224609,31.48678207397461
7,catch24,,6277,142,6.800464630126953,3838,142,4.158115386962891,31.48678207397461
8,catch24,,6343,138,6.678394317626953,3772,138,3.9715003967285156,31.48678207397461
9,catch24,,6292,159,7.632785797119141,3823,159,4.637706756591797,31.48678207397461
