classe,f1_medio,f1_desvio
0,0.2920267368042492,0.10486814524400391
1,0.7203744571528878,0.3620559171560294
2,0.656605248608184,0.36521769260257375
3,0.8671853514504793,0.298749893114737
4,0.8477127991363009,0.2854680350295988
5,0.6705527043867835,0.34489067943750146
6,0.8957983061821162,0.17617019668006154
7,0.9247604422502654,0.05121837399506096
8,0.8737111341980712,0.0949772200742479
9,0.9054961576992253,0.12368076118558749
10,0.7928044745804745,0.1708884599848704
11,0.7220624866039909,0.2841323282585736
12,0.09706953464561077,0.14767027492393967
