fold,f1_macro,f1_mean_classes,accuracy,n_features_modelo
0,0.7443986639349708,0.7443986639349708,0.7845970240211264,24
1,0.7945914467744568,0.7945914467744568,0.8667708100870342,24
2,0.780195649461159,0.780195649461159,0.8359685836821165,24
3,0.6577805795590217,0.6577805795590217,0.718335249242345,24
4,0.7809243421196823,0.7809243421196823,0.8546271716561096,24
5,0.6591745514794668,0.6591745514794668,0.7326089909004482,24
6,0.5770483386388826,0.5770483386388826,0.6261114662637299,24
7,0.7064670605236597,0.7064670605236597,0.7826134469852198,24
8,0.5927203280422159,0.5927203280422159,0.6235216819973719,24
9,0.8345142961577452,0.8345142961577452,0.8951749734888653,24
