run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
I_gradual_D_,0,[0],39789,3711,96,96
I_gradual_D_,1,[1],39789,3711,96,96
I_gradual_D_,2,[2],39885,3615,96,96
I_gradual_D_,3,[3],39873,3627,96,96
I_gradual_D_,4,[4],40017,3483,96,96
I_gradual_D_,5,[5],39981,3519,96,96
I_gradual_D_,6,[6],39849,3651,96,96
I_gradual_D_,7,[7],39849,3651,96,96
I_gradual_D_,8,[8],39801,3699,96,96
I_gradual_D_,9,[9],39849,3651,96,96
I_gradual_D_,10,[10],39837,3663,96,96
I_gradual_D_,11,[11],39981,3519,96,96
I_gradual_D_,0,[0],39789,3711,96,96
I_gradual_D_,1,[1],39789,3711,96,96
I_gradual_D_,2,[2],39885,3615,96,96
I_gradual_D_,3,[3],39873,3627,96,96
I_gradual_D_,4,[4],40017,3483,96,96
I_gradual_D_,5,[5],39981,3519,96,96
I_gradual_D_,6,[6],39849,3651,96,96
I_gradual_D_,7,[7],39849,3651,96,96
I_gradual_D_,8,[8],39801,3699,96,96
I_gradual_D_,9,[9],39849,3651,96,96
I_gradual_D_,10,[10],39837,3663,96,96
I_gradual_D_,11,[11],39981,3519,96,96
