fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,baseline,,4.145781500265002,254136,0.0163132397624303
1,baseline,,3.556976068764925,251323,0.0141530065643213
2,baseline,,3.5065456479787827,253656,0.013824020121656
3,baseline,,3.428772646933794,252286,0.0135908161647249
4,baseline,,3.4603129886090755,250681,0.0138036508096308
5,baseline,,3.668903183192015,252555,0.0145271453077231
6,baseline,,3.546186363324523,252988,0.0140172117385983
7,baseline,,3.5424717646092176,252043,0.014055029358519
0,catch24,,37.97099754400551,253233,0.1499449026943783
1,catch24,,38.596325719729066,250420,0.154126370576348
2,catch24,,38.80715948902071,252753,0.1535378788343588
3,catch24,,38.69110702723265,251383,0.1539129814952985
4,catch24,,38.21451798640192,249778,0.1529939305559413
5,catch24,,38.29870570078492,251652,0.1521891568546442
6,catch24,,38.92140650935471,252085,0.1543979471581201
7,catch24,,38.52496652118862,251140,0.1534003604411428
0,drift,GeometricMovingAverage,7.037121182307601,254136,0.0276903751625413
1,drift,GeometricMovingAverage,6.68775955028832,251323,0.026610216933143
2,drift,GeometricMovingAverage,6.597707228735089,253656,0.026010452063957
3,drift,GeometricMovingAverage,6.572709925472736,252286,0.026052614594043
4,drift,GeometricMovingAverage,6.5056756138801575,250681,0.0259520091825074
5,drift,GeometricMovingAverage,6.832673395052552,252555,0.0270541996596881
6,drift,GeometricMovingAverage,6.780222322791815,252988,0.0268005688917727
7,drift,GeometricMovingAverage,6.767827615141869,252043,0.0268518769223579
0,catch24_drift,GeometricMovingAverage,29.091460667550564,253233,0.1148802117715722
1,catch24_drift,GeometricMovingAverage,27.749406991526484,250420,0.1108114647054008
2,catch24_drift,GeometricMovingAverage,28.594690468162295,252753,0.1131329419162672
3,catch24_drift,GeometricMovingAverage,28.38451459631324,251383,0.1129134213384088
4,catch24_drift,GeometricMovingAverage,27.929780891165137,249778,0.1118184183201288
5,catch24_drift,GeometricMovingAverage,28.62860534712672,251652,0.1137626776148281
6,catch24_drift,GeometricMovingAverage,28.205209840089083,252085,0.1118876959759171
7,catch24_drift,GeometricMovingAverage,28.117049826309085,251140,0.1119576723194596
