score_sdp002,score_sdt002,score_sdt003,score_sdu002_1,score_sdu002_2,sdp002,sdt002,sdt003,sdu002_1,sdu002_2,n_test
0.2760911847779351,0.13328941467770253,0.04898684315473363,0.1928654071761092,0.13829121825366458,0.04562531632645237,0.01795010841172917,0.012018019363556431,0.1307857314021371,0.004096756455980003,4304
0.27264594838750267,0.07188478305615002,0.07930452776850276,0.17749491500009798,0.19363175553040918,0.039646495617741535,0.022207557462375974,0.019358250628395968,0.1218136077958566,0.0020121587529674453,5637
0.22879780734572494,0.1283311616169126,0.030432511903742486,0.2806159904107595,0.18995129687798695,0.02181511879304869,0.024315533621736333,0.0324119829987887,0.0592499786508774,0.004078617780422298,7033
0.16579101521636763,0.0895629438550097,0.057410822863192865,0.27621816184914055,0.20601921543640375,0.028353056387383297,0.015756261631036876,0.009514195888632995,0.1471242426024532,0.004250084270379132,2738
0.22509743576060803,0.13335661754851202,0.05401151956134976,0.22457773929110564,0.15202305686862788,0.04207655880117951,0.013556375502030787,0.009806407803813406,0.14109813597302245,0.0043961528897504395,2529
0.23458187064146938,0.1060996833483087,0.05956948157687144,0.2546416350942129,0.15309462382378616,0.038545296868076256,0.01832575201223986,0.010099624709935388,0.12061935792747634,0.004422673997623523,3072
0.234745533051433,0.097211561076076,0.0533233871087259,0.2490503297429592,0.1727946078010654,0.033485862247324694,0.012383619751518287,0.015155901129977034,0.12474346887554748,0.007105729215373015,3455
0.15642436701626922,0.11879789117024413,0.04662721266884263,0.29672095049480196,0.1625442278665961,0.02935677727437929,0.013738602122801256,0.01035501288570005,0.16187652738987132,0.003558431110493971,2828
0.1899871737874791,0.11732719881763111,0.04651541848150659,0.27388937031527266,0.14410694128722626,0.03883990716070112,0.0079398250367635,0.01264229649813933,0.16481844453577094,0.0039334240795094715,2619
0.18374905941585915,0.11742462322792051,0.05391187960737334,0.3021416684331112,0.15455609081249885,0.036495893257044006,0.01029654026935974,0.00829890997804106,0.12923526309146824,0.0038900719073239067,3162
0.1855929903177675,0.11165953140150375,0.05635800546618912,0.28159301034320666,0.15674059559964482,0.03285199088824701,0.011105265838053881,0.013265237251412333,0.14801005156725605,0.002823321326718871,3545
