fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,catch24_drift,ADWIN,0.965397434309125,20890,0.04621337646285902
1,catch24_drift,ADWIN,0.7874153107404709,19557,0.0402625817221696
2,catch24_drift,ADWIN,0.7118070311844349,18161,0.03919426414759291
3,catch24_drift,ADWIN,0.8394541963934898,22565,0.03720160409454863
4,catch24_drift,ADWIN,0.8374053873121738,22774,0.036770237433572224
5,catch24_drift,ADWIN,0.8065753057599068,22231,0.03628155754396594
6,catch24_drift,ADWIN,0.826135914772749,21848,0.03781288515071169
7,catch24_drift,ADWIN,0.844839284196496,22475,0.037590179497063225
8,catch24_drift,ADWIN,0.8416935373097658,22684,0.03710516387364512
9,catch24_drift,ADWIN,0.8268368486315012,22141,0.03734415106054384
10,catch24_drift,ADWIN,0.8394301012158394,21758,0.03858029695816892
