fold,f1_macro,f1_mean_classes,accuracy,n_features_modelo
0,0.6037700873706447,0.6037700873706447,0.6874714336498908,24
1,0.7600195410203419,0.7600195410203419,0.855026779736666,24
2,0.4741653327697557,0.4741653327697557,0.5634010230971942,24
3,0.7000604833440662,0.7000604833440662,0.8054655658898526,24
4,0.7047518162230137,0.7047518162230137,0.7958314716009146,24
5,0.749594103030448,0.749594103030448,0.8324324324324325,24
6,0.527776301786927,0.527776301786927,0.5909804149474052,24
7,0.411731851851157,0.411731851851157,0.49635275797065814,24
8,0.22936697414973115,0.22936697414973115,0.27882720105124836,24
9,0.7906376659097304,0.7906376659097304,0.8675503711558855,24
