classe,f1_medio,f1_desvio
0,0.12280718516304616,0.12005217514039279
1,0.8135808858485385,0.10818329622650351
2,0.3843361703123819,0.47059549678880636
3,0.7957441710644904,0.3978780061305107
4,0.779067205853486,0.3480424533127459
5,0.5865847598560869,0.32551506245957923
6,0.7560235812396787,0.35793957164543644
7,0.7875620527769185,0.26229269735439725
8,0.6773800496756497,0.31339326822896396
9,0.7628895756863849,0.36925729856074035
10,0.5663177702530066,0.3705076957745899
11,0.6973377149965364,0.26831340491314104
12,0.007805281966355793,0.01587305552860607
