scenario,detector_name,best_macro_f1
catch24,baseline,0.824075695410135
drift,ADWIN,0.8902853812230699
catch24_drift,ADWIN,0.8959119194453099
drift,PageHinkley,0.872158470820895
catch24_drift,PageHinkley,0.8936831684853047
drift,KSWIN,0.8803845739498282
catch24_drift,KSWIN,0.8883391064542407
drift,CUSUM,0.7436421198567994
catch24_drift,CUSUM,0.8852767684520161
drift,EWMAChart,0.8423266650792687
catch24_drift,EWMAChart,0.8649119214282706
drift,GeometricMovingAverage,0.7300942350391761
catch24_drift,GeometricMovingAverage,0.8912008459858286
drift,HDDMAverage,0.773788324745542
catch24_drift,HDDMAverage,0.8848247165780877
drift,HDDMWeighted,0.7586489859088869
catch24_drift,HDDMWeighted,0.8652703519294719
drift,SEED,0.8864461156392278
catch24_drift,SEED,0.895333061864597
baseline,baseline,0.7252286384042201
