scenario,detector_name,best_macro_f1
drift_ot,ADWIN,0.8795228764625186
catch24_drift_ot,ADWIN,0.8873195177668759
drift_ot,PageHinkley,0.8947448163938829
catch24_drift_ot,PageHinkley,0.8966644100607202
drift_ot,KSWIN,0.8894977648304376
catch24_drift_ot,KSWIN,0.8925205615181601
drift_ot,CUSUM,0.8823599981225059
catch24_drift_ot,CUSUM,0.88701401417517
drift_ot,EWMAChart,0.8431447882250566
catch24_drift_ot,EWMAChart,0.8712037791852446
drift_ot,GeometricMovingAverage,0.7949832365009392
catch24_drift_ot,GeometricMovingAverage,0.887172021248048
drift_ot,HDDMAverage,0.8120223588594269
catch24_drift_ot,HDDMAverage,0.8772718489371072
drift_ot,HDDMWeighted,0.7519903544643955
catch24_drift_ot,HDDMWeighted,0.8651230707723243
drift_ot,SEED,0.8981988697763247
catch24_drift_ot,SEED,0.9015791396685962
