right_ankle_acc_x,right_ankle_acc_y,right_ankle_acc_z,right_ankle_gyro_x,right_ankle_gyro_y,score_right_ankle_acc_x,score_right_ankle_acc_y,score_right_ankle_acc_z,score_right_ankle_gyro_x,score_right_ankle_gyro_y,n_test
0.1204322267571501,0.028435783316093075,0.009798801953186796,0.010467600025466657,0.05642244311014755,0.17148917214378262,0.07715193732476058,0.30223663740784007,0.004772885870748657,0.21879251209082387,59048
0.12207242354019805,0.0220972665624586,0.011726144070135551,0.013823153436195713,0.04238250826933323,0.1977618343467463,0.11935265378676202,0.23265192642654525,0.007706409252098092,0.23042568030952731,63006
0.12303072745348638,0.02389145705229457,0.010124915819356213,0.014215913255294116,0.040859892777116595,0.17727259619646807,0.12232860761417702,0.2899670241010156,0.0035424311074293805,0.19476643462336204,54316
0.12051564906947734,0.023582368260656277,0.015831280491020675,0.012484568051599448,0.039419998257893406,0.20170826712919593,0.10886751920435946,0.30616779367642677,0.0038697483979151957,0.1675528074614555,59973
0.1282041072933907,0.02626914574555548,0.012269635681503391,0.013636014358914162,0.03855122509440921,0.19049502780881591,0.10133901142648329,0.2993936540650359,0.003069279670165015,0.18677289885572707,60663
0.11838480525891328,0.02531585896047471,0.01099745976354157,0.012171809680332301,0.03861944140148693,0.21947241815715846,0.1039974088802154,0.25950106567570286,0.0034363833787022084,0.2081033488434723,55496
0.1321977522431184,0.025742133200791516,0.010475832130619981,0.014322622609755592,0.03989788237255472,0.1839692565170551,0.1025526122859838,0.29767228307201926,0.003890941781298939,0.18927868378680285,57210
0.12512501666790138,0.02337739731137331,0.013259139496832866,0.011931054642946758,0.04089936329059483,0.16640017508594634,0.1258315448874176,0.3087443116264907,0.0027856431201128315,0.18164635387038344,55712
0.11139692460293346,0.024493418109631675,0.01291850163086392,0.011644728284292137,0.03947722769581801,0.27046923682831847,0.08835072849553008,0.2826458591333038,0.002171419886764493,0.15643195533254392,54439
0.11719973216174744,0.027263911229729806,0.0136169393405474,0.0118621187191532,0.03792402173467967,0.2129578497795307,0.09615000253823054,0.2701003381887598,0.003995126096792838,0.20892996021082852,56823
