scenario,detector_name,best_macro_f1
drift_ot,ADWIN,0.6118701663216828
catch24_drift_ot,ADWIN,0.8285771608507588
drift_ot,PageHinkley,0.7438876434616557
catch24_drift_ot,PageHinkley,0.8742355884602162
drift_ot,KSWIN,0.6683209158527201
catch24_drift_ot,KSWIN,0.8575473405931966
drift_ot,CUSUM,0.7277149645745512
catch24_drift_ot,CUSUM,0.8625807849060763
drift_ot,EWMAChart,0.532717568904945
catch24_drift_ot,EWMAChart,0.7321744109101875
drift_ot,GeometricMovingAverage,0.6776799030921862
catch24_drift_ot,GeometricMovingAverage,0.8342552742518328
drift_ot,HDDMAverage,0.6779986510509491
catch24_drift_ot,HDDMAverage,0.8169632850437955
drift_ot,HDDMWeighted,0.5620787257833884
catch24_drift_ot,HDDMWeighted,0.7396037187577476
drift_ot,SEED,0.6671275298802581
catch24_drift_ot,SEED,0.8304113126733175
