fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,drift,HDDMAverage,332957,24,60.966373443603516,39382,24,7.211185455322266,0.0
1,drift,HDDMAverage,333633,24,61.090152740478516,38706,24,7.087406158447266,0.0
2,drift,HDDMAverage,334063,24,61.168888092041016,38276,24,7.008670806884766,0.0
3,drift,HDDMAverage,334292,24,61.210819244384766,38047,24,6.966739654541016,0.0
4,drift,HDDMAverage,335524,24,61.436405181884766,36815,24,6.741153717041016,0.0
5,drift,HDDMAverage,337925,24,61.876041412353516,34414,24,6.301517486572266,0.0
6,drift,HDDMAverage,335736,24,61.475223541259766,36603,24,6.702335357666016,0.0
7,drift,HDDMAverage,335811,24,61.488956451416016,36528,24,6.688602447509766,0.0
8,drift,HDDMAverage,334619,24,61.270694732666016,37720,24,6.906864166259766,0.0
9,drift,HDDMAverage,336491,24,61.613468170166016,35848,24,6.564090728759766,0.0
