angle_1_1,angle_1_2,angle_1_3,angle_2_1,angle_2_2,angle_2_3,n_test
0.09338784638139336,0.072573629704485,0.08997830720244335,0.508015051947214,0.17437790158629174,0.06166726317817258,3030
0.08562456120564639,0.06584267989572469,0.08968248221523786,0.5228667648982294,0.17014313550397472,0.06584037628118702,3030
0.10172696439487318,0.07399728091458577,0.0908448439470369,0.5242522911504796,0.15501109703819935,0.0541675225548251,3030
0.09343049784627593,0.07816653961231435,0.0902430722518383,0.5205790769772709,0.16270149816484467,0.054879315147455976,3030
0.10706089281030151,0.07441188228770346,0.08708415785801116,0.5143527523859599,0.16158511180614846,0.05550520285187553,3030
0.08159428444205039,0.06384745769739592,0.0778848669242004,0.5617521447106827,0.15238109197131053,0.06254015425435999,3030
0.10479904853820246,0.07136171588635212,0.08846060977199935,0.5170107251297305,0.15912195854234396,0.05924594213137165,3030
0.08718828404483689,0.062057940602349655,0.06665134500722951,0.5723735919170272,0.1563546512552383,0.055374187173318344,3030
0.09394611539353769,0.07943567587217552,0.091615521835503,0.5079833222756953,0.16671119766664597,0.06030816695644248,3030
0.09073135915840004,0.07691491391609032,0.08839775352798217,0.5182403523766219,0.1662430563060609,0.059472564714844724,3030
