fold,f1_macro,f1_mean_classes,accuracy,n_features_modelo
0,0.425810945723669,0.425810945723669,0.5038088466812249,12
1,0.6836299359819079,0.6836299359819079,0.7420218701182771,12
2,0.4861340046070873,0.4861340046070873,0.5648736629979848,12
3,0.666477004380241,0.666477004380241,0.7104974396488661,12
4,0.51425660453298,0.51425660453298,0.5732646463584514,12
5,0.4283767069484029,0.4283767069484029,0.46529947032459595,12
6,0.4702014224966442,0.4702014224966442,0.4900621839948858,12
7,0.5275245610758403,0.5275245610758403,0.5861541403710079,12
8,0.25332208856348315,0.25332208856348315,0.26880749014454663,12
9,0.6716760756570419,0.6716760756570419,0.7071580063626723,12
