run,fold,RF
baseline,0.0,0.5038088466812249
baseline,1.0,0.7420218701182771
baseline,2.0,0.5648736629979848
baseline,3.0,0.7104974396488661
baseline,4.0,0.5732646463584514
baseline,5.0,0.4652994703245959
baseline,6.0,0.4900621839948858
baseline,7.0,0.5861541403710079
baseline,8.0,0.2688074901445466
baseline,9.0,0.7071580063626723
