classe,f1_medio,f1_desvio
0,0.2539694342377505,0.08911614092942331
1,0.3720913789900251,0.38373581665210527
2,0.19439410126988593,0.38882327866683897
3,0.49780063876897607,0.4938433112876497
4,0.6381489152640001,0.24437476660189628
5,0.5802786641995075,0.23649732389563397
6,0.4847679562364717,0.14985142898944395
7,0.7326153124633326,0.2638702882586353
8,0.47631618179528107,0.2669740448534016
9,0.7335622565317435,0.3739535341500664
10,0.6151851262771199,0.40726313474160275
11,0.6703965878099185,0.2668478159805323
12,0.4161056011134755,0.16202448446580067
