fold,train_indices,test_indices,detector_name,phi_b,scaler_name
0,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",[0],HDDMWeighted,0.0014880699509911967,robust
1,"[0, 2, 3, 4, 5, 6, 7, 8, 9]",[1],HDDMWeighted,0.0014880699509911967,robust
2,"[0, 1, 3, 4, 5, 6, 7, 8, 9]",[2],HDDMWeighted,0.0014880699509911967,robust
3,"[0, 1, 2, 4, 5, 6, 7, 8, 9]",[3],HDDMWeighted,0.0014880699509911967,robust
4,"[0, 1, 2, 3, 5, 6, 7, 8, 9]",[4],HDDMWeighted,0.0014880699509911967,robust
5,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",[5],HDDMWeighted,0.0014880699509911967,robust
6,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",[6],HDDMWeighted,0.0014880699509911967,robust
7,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",[7],HDDMWeighted,0.0014880699509911967,robust
8,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",[8],HDDMWeighted,0.0014880699509911967,robust
9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",[9],HDDMWeighted,0.0014880699509911967,robust
