fold,train_indices,test_indices,detector_name,phi_b,scaler_name
0,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",[0],CUSUM,0.00010849855986084896,standard
1,"[0, 2, 3, 4, 5, 6, 7, 8, 9]",[1],CUSUM,0.00010849855986084896,standard
2,"[0, 1, 3, 4, 5, 6, 7, 8, 9]",[2],CUSUM,0.00010849855986084896,standard
3,"[0, 1, 2, 4, 5, 6, 7, 8, 9]",[3],CUSUM,0.00010849855986084896,standard
4,"[0, 1, 2, 3, 5, 6, 7, 8, 9]",[4],CUSUM,0.00010849855986084896,standard
5,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",[5],CUSUM,0.00010849855986084896,standard
6,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",[6],CUSUM,0.00010849855986084896,standard
7,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",[7],CUSUM,0.00010849855986084896,standard
8,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",[8],CUSUM,0.00010849855986084896,standard
9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",[9],CUSUM,0.00010849855986084896,standard
